package,source,version,r_version,assessment_date,rating
cronR,CRAN,0.6.5,4.3.1,2024-04-17,low
crosstable,CRAN,0.7.0,4.3.1,2024-04-17,medium
crosstalk,CRAN,1.2.1,4.3.1,2023-11-27,low
crul,CRAN,1.4.2,4.3.1,2023-11-27,low
cubature,CRAN,2.1.0,4.3.1,2023-11-27,low
curl,CRAN,5.2.1,4.3.1,2023-11-27,low
cvAUC,CRAN,1.1.4,4.3.1,2023-11-27,low
cyclocomp,CRAN,1.1.1,4.3.1,2023-11-27,low
cytolib,BIOC,2.14.1,4.3.1,2023-11-27,low
dagitty,CRAN,0.3-4,4.3.1,2023-11-27,low
data.table,CRAN,1.15.4,4.3.1,2023-11-27,low
data.tree,CRAN,1.1.0,4.3.1,2023-11-27,low
dataMaid,CRAN,1.4.1,4.3.1,2024-04-17,medium
datamods,CRAN,1.5.1,4.3.1,2023-11-27,medium
datasetjson,CRAN,0.1.0,4.3.1,2024-04-13,medium
datasetjson,CRAN,0.2.0,4.3.1,2024-04-13,medium
datasets,other,4.3.1,4.3.1,2023-11-27,low
datawizard,CRAN,0.11.0,4.3.1,2023-11-27,low
date,CRAN,1.2-42,4.3.1,2024-04-17,low
dbarts,CRAN,0.9-28,4.3.1,2023-11-27,low
dbplyr,CRAN,2.5.0,4.3.1,2023-11-27,low
dbscan,CRAN,1.1-12,4.3.1,2023-11-27,low
deSolve,CRAN,1.4,4.3.1,2023-11-27,low
debugme,CRAN,1.2.0,4.3.1,2023-11-27,low
deldir,CRAN,2.0-4,4.3.1,2023-11-27,low
dendextend,CRAN,1.17.1,4.3.1,2023-11-27,low
desc,CRAN,1.4.3,4.3.1,2023-11-27,low
devtools,CRAN,2.4.5,4.3.1,2023-11-27,low
dfidx,CRAN,0.0-5,4.3.1,2023-11-27,low
diagram,CRAN,1.6.5,4.3.1,2023-11-27,low
dials,CRAN,1.2.1,4.3.1,2023-11-27,low
diffcyt,BIOC,1.22.1,4.3.1,2023-11-27,medium
diffdf,CRAN,1.0.4,4.3.1,2023-11-27,medium
diffobj,CRAN,0.3.5,4.3.1,2023-11-27,low
diffviewer,CRAN,0.1.2,4.3.1,2024-04-17,low
digest,CRAN,0.6.35,4.3.1,2023-11-27,low
diptest,CRAN,0.77-1,4.3.1,2023-11-27,low
directlabels,CRAN,2024.1.21,4.3.1,2023-11-27,low
distill,CRAN,1.6,4.3.1,2023-11-27,medium
distributional,CRAN,0.4.0,4.3.1,2023-11-27,low
doBy,CRAN,4.6.21,4.3.1,2023-11-27,low
doFuture,CRAN,1.0.1,4.3.1,2024-05-31,low
doParallel,CRAN,1.0.17,4.3.1,2023-11-27,low
doRNG,CRAN,1.8.6,4.3.1,2023-11-27,low
dockerfiler,CRAN,0.2.2,4.3.1,2023-11-27,medium
dotCall64,CRAN,1.1-1,4.3.1,2023-11-27,low
downlit,CRAN,0.4.4,4.3.1,2023-11-27,low
downloader,CRAN,0.4,4.3.1,2023-11-27,low
dparser,CRAN,1.3.1-11,4.3.1,2023-11-27,low
dplyr,CRAN,1.1.4,4.3.1,2023-11-27,low
dqrng,CRAN,0.4.1,4.3.1,2023-11-27,low
drc,CRAN,3.0-1,4.3.1,2023-11-27,low
drgee,CRAN,1.1.10,4.3.1,2023-11-27,medium
dtplyr,CRAN,1.3.1,4.3.1,2023-11-27,low
dtw,CRAN,1.23-1,4.3.1,2023-11-27,low
dtwclust,CRAN,5.5.12,4.3.1,2023-11-27,low
duckdb,CRAN,0.10.2,4.3.1,2023-11-27,low
dunlin,CRAN,0.1.7,4.3.1,2024-05-31,medium
dygraphs,CRAN,1.1.1.6,4.3.1,2023-11-27,low
dynamicTreeCut,CRAN,1.63-1,4.3.1,2023-11-27,low
e1071,CRAN,1.7-14,4.3.1,2023-11-27,low
earth,CRAN,5.3.3,4.3.1,2023-11-27,low
easystats,CRAN,0.7.2,4.3.1,2023-11-27,medium
edgeR,BIOC,4.0.16,4.3.1,2023-11-27,low
effectsize,CRAN,0.8.8,4.3.1,2023-11-27,low
egg,CRAN,0.4.5,4.3.1,2023-11-27,low
ellipse,CRAN,0.5.0,4.3.1,2023-11-27,low
ellipsis,CRAN,0.3.2,4.3.1,2023-11-27,low
embed,CRAN,1.1.4,4.3.1,2023-11-27,medium
emmeans,CRAN,1.10.2,4.3.1,2023-11-27,low
emulator,CRAN,1.2-24,4.3.1,2023-11-27,low
epitools,CRAN,0.5-10.1,4.3.1,2023-11-27,low
eq5d,CRAN,0.15.3,4.3.1,2024-04-17,medium
erify,CRAN,0.4.0,4.3.1,2023-11-27,low
esquisse,CRAN,2.0.0,4.3.1,2023-11-27,medium
estimability,CRAN,1.5.1,4.3.1,2023-11-27,low
etm,CRAN,1.1.1,4.3.1,2024-04-17,low
evaluate,CRAN,0.24.0,4.3.1,2023-11-27,low
evd,CRAN,2.3-7,4.3.1,2023-11-27,low
eventTrack,CRAN,1.0.3,4.3.1,2023-11-27,low
exact2x2,CRAN,1.6.9,4.3.1,2023-11-27,medium
exactRankTests,CRAN,0.8-35,4.3.1,2023-11-27,low
exactci,CRAN,1.4-4,4.3.1,2023-11-27,low
excelR,CRAN,0.4.0,4.3.1,2024-04-17,medium
expm,CRAN,0.999-9,4.3.1,2023-11-27,low
extrafont,CRAN,0.19,4.3.1,2023-11-27,low
extrafontdb,CRAN,1,4.3.1,2023-11-27,low
fBasics,CRAN,4032.96,4.3.1,2023-11-27,low
fansi,CRAN,1.0.6,4.3.1,2023-11-27,low
farver,CRAN,2.1.2,4.3.1,2023-11-27,low
fastDummies,CRAN,1.7.3,4.3.1,2023-11-27,low
fastGHQuad,CRAN,1.0.1,4.3.1,2023-11-27,low
fastICA,CRAN,1.2-4,4.3.1,2023-11-27,low
fastcluster,CRAN,1.2.6,4.3.1,2023-11-27,low
fastmap,CRAN,1.2.0,4.3.1,2023-11-27,low
fastverse,CRAN,0.3.3,4.3.1,2023-11-27,medium
fda,CRAN,6.1.8,4.3.1,2023-11-27,low
fds,CRAN,1.8,4.3.1,2023-12-04,low
fields,CRAN,15.2,4.3.1,2023-11-27,low
filelock,CRAN,1.0.3,4.3.1,2023-11-27,low
filesstrings,CRAN,3.4.0,4.3.1,2023-11-27,medium
finalfit,CRAN,1.0.7,4.3.1,2023-11-27,medium
fitdistrplus,CRAN,1.1-11,4.3.1,2023-11-27,low
flashClust,CRAN,1.01-2,4.3.1,2023-11-27,low
flexclust,CRAN,1.4-2,4.3.1,2023-11-27,low
flexdashboard,CRAN,0.6.2,4.3.1,2023-11-27,low
flexmix,CRAN,2.3-19,4.3.1,2023-11-27,low
flexsurv,CRAN,2.3,4.3.1,2023-11-27,low
flexsurvcure,CRAN,1.3.1,4.3.1,2024-04-04,medium
flextable,CRAN,0.9.6,4.3.1,2023-11-27,low
flowClust,BIOC,3.40.0,4.3.1,2023-11-27,low
flowCore,BIOC,2.14.2,4.3.1,2023-11-27,low
flowStats,BIOC,4.14.1,4.3.1,2023-11-27,low
flowViz,BIOC,1.66.0,4.3.1,2023-11-27,low
flowWorkspace,BIOC,4.14.3,4.3.1,2023-11-27,low
flowWorkspaceData,other,3.14.0,4.3.1,2023-11-27,low
fmsb,CRAN,0.7.6,4.3.1,2023-11-27,low
fmtr,CRAN,1.6.5,4.3.1,2024-04-17,medium
fontBitstreamVera,CRAN,0.1.1,4.3.1,2023-11-27,low
fontLiberation,CRAN,0.1.0,4.3.1,2023-11-27,low
fontawesome,CRAN,0.5.2,4.3.1,2023-11-27,low
fontquiver,CRAN,0.2.1,4.3.1,2023-11-27,low
forcats,CRAN,1.0.0,4.3.1,2023-11-27,low
foreach,CRAN,1.5.2,4.3.1,2023-11-27,low
foreign,CRAN,0.8-86,4.3.1,2023-11-27,low
foreign,CRAN,0.8-86,4.3.1,2023-11-27,low
forestmodel,CRAN,0.6.2,4.3.1,2024-04-17,low
forestplot,CRAN,3.1.3,4.3.1,2023-11-27,low
forestploter,CRAN,1.1.2,4.3.1,2024-04-17,medium
formatR,CRAN,1.14,4.3.1,2023-11-27,low
formattable,CRAN,0.2.1,4.3.1,2024-04-17,low
formatters,CRAN,0.5.6,4.3.1,2023-11-27,low
formula.tools,CRAN,1.7.1,4.3.1,2023-11-27,low
fpc,CRAN,2.2-12,4.3.1,2023-11-27,low
fresh,CRAN,0.2.0,4.3.1,2023-11-27,low
fs,CRAN,1.6.4,4.3.1,2023-11-27,low
furrr,CRAN,0.3.1,4.3.1,2023-11-27,low
future,CRAN,1.33.2,4.3.1,2023-11-27,low
